date_ym,year,health_board,hospital_id,hospital_name,department_type,total_attendance,wait_lt_4hrs,wait_gt_4hrs,wait_gt_8hrs,wait_gt_12hrs,is_covid_year
2007-07-01,2007,Ayrshire and Arran,A101H,Arran War Memorial Hospital,Minor Injury Unit or Other,252,252,0,0,0,FALSE
2007-07-01,2007,Ayrshire and Arran,A111H,University Hospital Crosshouse,Emergency Department,5414,5290,124,26,24,FALSE
2007-07-01,2007,Ayrshire and Arran,A207H,NA,Minor Injury Unit or Other,92,92,0,0,0,FALSE
2007-07-01,2007,Ayrshire and Arran,A210H,University Hospital Ayr,Emergency Department,3530,3355,175,3,1,FALSE
2007-07-01,2007,Borders,B103H,The Knoll Hospital,Minor Injury Unit or Other,20,20,0,0,0,FALSE
2007-07-01,2007,Borders,B105H,Hawick Community  Hospital,Minor Injury Unit or Other,105,105,0,0,0,FALSE
2007-07-01,2007,Borders,B114H,Kelso Hospital,Minor Injury Unit or Other,31,31,0,0,0,FALSE
2007-07-01,2007,Borders,B118H,Hay Lodge Hospital,Minor Injury Unit or Other,87,87,0,0,0,FALSE
2007-07-01,2007,Borders,B120H,Borders General Hospital,Emergency Department,1823,1804,19,0,0,FALSE
2007-07-01,2007,Dumfries and Galloway,Y101H,Castle Douglas Community Hospital,Minor Injury Unit or Other,86,86,0,0,0,FALSE
2007-07-01,2007,Dumfries and Galloway,Y106H,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,83,83,0,0,0,FALSE
2007-07-01,2007,Dumfries and Galloway,Y109H,Moffat Community Hospital,Minor Injury Unit or Other,7,7,0,0,0,FALSE
2007-07-01,2007,Dumfries and Galloway,Y110H,Newton Stewart Hospital,Minor Injury Unit or Other,85,85,0,0,0,FALSE
2007-07-01,2007,Dumfries and Galloway,Y144H,Galloway Community Hospital,Emergency Department,1189,1167,22,0,0,FALSE
2007-07-01,2007,Dumfries and Galloway,Y146H,Dumfries & Galloway Royal Infirmary,Emergency Department,2970,2862,108,0,0,FALSE
2007-07-01,2007,Fife,F704H,Victoria Hospital,Emergency Department,3912,3703,209,6,1,FALSE
2007-07-01,2007,Fife,F708H,Adamson Hospital,Minor Injury Unit or Other,174,174,0,0,0,FALSE
2007-07-01,2007,Fife,F709H,St Andrews Community Hospital,Minor Injury Unit or Other,282,282,0,0,0,FALSE
2007-07-01,2007,Fife,F805H,Queen Margaret Hospital,Emergency Department,3638,3570,68,2,0,FALSE
2007-07-01,2007,Forth Valley,V102H,Falkirk Community Hospital,Minor Injury Unit or Other,1772,1768,4,0,0,FALSE
