wheny,month,year,hb,specialty_name,all_staffed_beddays,total_occupied_beddays,percentage_occupancy,hb_name,population_catchment
2017-01-01,Jan,2017,S08000015,Clinical Radiology,1,1,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Community Dental Practice,1,1,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Dental Grouping,1,1,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Clinical Oncology,1,1,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Community Dental Practice,1,1,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Dental Grouping,1,1,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Ophthalmology,1,1,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Renal Medicine,1,1,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Anaesthetics,1,1,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Clinical Radiology,1,1,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Respiratory Medicine,1,1,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Accident & Emergency,1,1,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Emergency Grouping,1,1,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Gastroenterology,1,1,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Paediatric Surgery,1,1,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Respiratory Medicine,2,2,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Respiratory Medicine,2,2,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Rheumatology,2,2,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Renal Medicine,3,3,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Anaesthetics,3,3,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Respiratory Medicine,3,3,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Anaesthetics,3,3,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Ophthalmology,3,3,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Geriatric Medicine - units other than long stay,3,3,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Endocrinology & Diabetes,4,4,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Anaesthetics,4,4,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Gastroenterology,4,4,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Infectious Diseases,5,5,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Neurology,5,5,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Accident & Emergency,6,6,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Emergency Grouping,6,6,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Dermatology,7,7,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Paediatric Surgery,8,8,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Paediatric Surgery,8,8,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,All Acute,9,9,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,General Medicine,9,9,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Medical Grouping,9,9,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Paediatric Surgery,9,9,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Endocrinology & Diabetes,10,10,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Paediatric Surgery,12,12,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Respiratory Medicine,16,16,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Ophthalmology,22,22,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Accident & Emergency,23,23,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Emergency Grouping,23,23,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Accident & Emergency,25,25,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Emergency Grouping,25,25,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Accident & Emergency,34,34,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Emergency Grouping,34,34,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Accident & Emergency,40,40,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Emergency Grouping,40,40,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Accident & Emergency,49,49,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Emergency Grouping,49,49,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Rheumatology,54,54,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Medical Oncology,72,5,6.944444444444446, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Medical Oncology,76,8,10.526315789473689, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Accident & Emergency,77,77,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Emergency Grouping,77,77,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Accident & Emergency,80,80,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Emergency Grouping,80,80,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Dermatology,87,51,58.62068965517242, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Medical Oncology,96,10,10.416666666666668, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Dermatology,101,85,84.15841584158417, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Gastroenterology,112,112,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Dermatology,115,102,88.69565217391306, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Medical Oncology,127,41,32.28346456692913, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Accident & Emergency,128,128,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Emergency Grouping,128,128,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Accident & Emergency,139,139,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Emergency Grouping,139,139,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Accident & Emergency,150,150,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Emergency Grouping,150,150,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Dermatology,155,30,19.354838709677423, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Midwifery,159,159,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Ophthalmology,174,119,68.39080459770116, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Ophthalmology,177,122,68.9265536723164, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Ophthalmology,187,172,91.97860962566844, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Midwifery,202,202,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Ophthalmology,212,157,74.05660377358492, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Ophthalmology,213,158,74.17840375586856, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Accident & Emergency,216,216,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Emergency Grouping,216,216,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Midwifery,217,217,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Midwifery,226,226,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Ophthalmology,237,130,54.85232067510549, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,"Ear, Nose & Throat (ENT)",237,237,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Endocrinology & Diabetes,238,238,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,"Ear, Nose & Throat (ENT)",240,240,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Endocrinology & Diabetes,242,242,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Accident & Emergency,278,278,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Emergency Grouping,278,278,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Haematology,288,288,100, Ayrshire and Arran,low population
